#{"t_start": 1777335602.488024, "env_id": "MountainCarContinuous-v0"}
r,l,t
28.0,72,406.878382
28.0,72,407.531693
28.0,72,408.169637
31.0,69,408.790013
30.0,70,409.408106
32.0,69,409.978211
30.0,70,410.617142
28.0,72,411.286546
29.0,71,411.913412
29.0,71,412.538408
32.0,69,413.093673
29.0,71,413.712717
24.0,76,414.399986
31.0,69,414.951539
29.0,71,415.597184
29.0,71,416.213221
27.0,73,416.826118
32.0,68,417.438971
28.0,72,418.066205
29.0,71,418.73882
29.0,71,419.36151
25.0,75,419.980694
27.0,74,420.594414
26.0,74,421.212981
24.0,76,421.899585
30.0,70,422.51168
31.0,69,423.070648
27.0,73,423.686387
26.0,74,424.373174
29.0,72,424.990155
29.0,71,425.620391
24.0,76,426.247739
27.0,73,426.901771
28.0,72,427.554876
31.0,69,428.188757
30.0,70,428.817019
29.0,71,429.374161
27.0,73,430.077927
26.0,74,430.712519
32.0,68,431.289839
28.0,72,431.964019
25.0,75,432.689333
32.0,68,433.256618
27.0,74,433.890386
23.0,77,434.594842
30.0,70,435.245164
26.0,74,435.901937
29.0,72,436.555104
26.0,74,437.203443
27.0,73,437.836776
29.0,72,438.469898
27.0,73,439.186532
25.0,75,439.818709
28.0,73,440.470848
29.0,71,441.104109
31.0,69,441.734269
29.0,71,442.29259
26.0,74,443.011753
28.0,72,443.638694
29.0,71,444.273698
30.0,70,444.854873
31.0,69,445.482141
28.0,72,446.118182
30.0,70,446.787224
30.0,70,447.369516
25.0,75,448.083971
25.0,75,448.740382
29.0,71,449.42203
28.0,72,450.22507
29.0,71,450.921876
31.0,69,451.596184
27.0,73,452.268946
31.0,70,452.860676
29.0,71,453.535346
27.0,73,454.203513
24.0,76,454.947035
31.0,69,455.630998
28.0,72,456.297883
31.0,69,456.87484
31.0,69,457.505477
31.0,69,458.082799
29.0,71,458.773724
29.0,71,459.414464
30.0,70,460.046858
28.0,72,460.688703
31.0,69,461.400702
31.0,69,462.024777
27.0,73,462.676728
28.0,72,463.312715
30.0,70,463.977167
30.0,70,464.621911
30.0,70,465.253771
24.0,76,465.88926
30.0,70,466.521865
28.0,72,467.153494
28.0,74,467.78679
25.0,75,468.417053
26.0,74,469.10844
28.0,72,469.76724
31.0,69,470.359441
30.0,70,470.991088
30.0,70,471.61794
29.0,71,472.299794
30.0,71,472.97619
26.0,74,473.651185
33.0,68,474.36728
32.0,68,475.150858
30.0,70,475.818126
29.0,71,476.391898
27.0,73,477.153422
29.0,71,477.766329
26.0,74,478.504944
26.0,74,479.174516
24.0,76,479.839863
31.0,69,480.521689
29.0,71,481.19195
28.0,72,481.882726
30.0,70,482.560666
29.0,71,483.233983
24.0,76,483.900851
27.0,73,484.576352
28.0,72,485.269004
32.0,68,485.916107
25.0,75,486.547218
27.0,73,487.189727
27.0,73,487.829957
25.0,75,488.538794
27.0,73,489.182695
29.0,71,489.818077
29.0,72,490.454952
28.0,72,491.090806
27.0,73,491.755236
21.0,80,492.494123
28.0,72,493.139079
29.0,71,493.795726
31.0,70,494.349819
27.0,73,495.062675
31.0,69,495.613991
27.0,74,496.249697
26.0,74,496.951621
25.0,75,497.601482
29.0,71,498.28113
31.0,70,498.985411
28.0,72,499.725164
29.0,71,500.566266
26.0,74,501.287463
27.0,73,501.97161
28.0,72,502.64835
28.0,72,503.307338
31.0,69,503.971284
30.0,70,504.590105
29.0,71,505.261093
29.0,71,505.928137
29.0,71,506.614573
28.0,72,507.342424
