#{"t_start": 1777334239.2332623, "env_id": "MountainCarContinuous-v0"}
r,l,t
30.0,70,169.768165
31.0,69,169.934615
32.0,69,170.123766
30.0,70,170.305657
29.0,71,170.487716
29.0,71,170.651522
28.0,72,170.829166
29.0,71,171.004912
28.0,72,171.186105
28.0,72,171.371165
28.0,72,171.552421
29.0,72,171.740181
28.0,72,171.921651
28.0,72,172.11047
26.0,74,172.318531
27.0,73,172.499909
29.0,71,172.685476
29.0,71,172.836668
29.0,71,173.011974
29.0,71,173.190132
27.0,73,173.363816
25.0,75,173.558559
29.0,71,173.740157
29.0,71,173.9047
28.0,72,174.089272
30.0,71,174.279595
30.0,71,174.470763
31.0,70,174.660798
30.0,70,174.849792
-40.0,140,175.205737
31.0,69,175.39477
31.0,69,175.56487
30.0,70,175.750363
31.0,69,175.942498
-9.0,109,176.221906
30.0,70,176.408122
-5.0,106,176.683782
-42.0,142,177.056895
31.0,69,177.243142
31.0,69,177.409214
31.0,69,177.589065
30.0,70,177.776265
31.0,69,177.941404
31.0,69,178.1325
0.0,100,178.404063
-41.0,141,178.761534
31.0,69,178.950559
32.0,68,179.118339
3.0,97,179.366445
31.0,69,179.55879
31.0,69,179.733125
-37.0,137,180.097162
30.0,70,180.275552
30.0,70,180.448034
30.0,70,180.627985
27.0,73,180.81279
31.0,69,180.986245
29.0,71,181.169121
30.0,70,181.337429
29.0,71,181.522923
30.0,70,181.705023
29.0,71,181.896061
28.0,72,182.08493
31.0,69,182.271347
-41.0,141,182.619953
-44.0,144,182.992724
29.0,71,183.167732
29.0,71,183.34409
29.0,71,183.525301
27.0,73,183.712079
30.0,71,183.894952
29.0,71,184.083714
28.0,72,184.274145
29.0,71,184.462767
27.0,73,184.653776
29.0,71,184.839907
30.0,70,185.010692
30.0,70,185.196981
29.0,71,185.385725
31.0,69,185.574392
-39.0,139,185.933999
29.0,71,186.122282
0.0,100,186.379921
-37.0,137,186.713497
4.0,97,186.989283
28.0,72,187.178158
31.0,69,187.348478
-47.0,147,187.753048
29.0,71,187.925474
30.0,70,188.099636
31.0,69,188.288653
30.0,70,188.479858
27.0,73,188.66846
29.0,71,188.854093
26.0,75,189.044267
28.0,72,189.236456
30.0,70,189.427211
30.0,70,189.595255
31.0,69,189.769096
30.0,70,189.947055
30.0,70,190.12784
-48.0,148,190.494845
-43.0,143,190.863231
-45.0,145,191.223944
-36.0,136,191.571752
31.0,69,191.760519
-40.0,140,192.105011
30.0,70,192.273489
31.0,69,192.465264
31.0,69,192.633985
-45.0,145,193.009381
-44.0,144,193.393786
32.0,68,193.581402
30.0,70,193.770021
32.0,68,193.939665
32.0,68,194.12784
31.0,69,194.295544
-42.0,143,194.665625
-37.0,137,195.002948
7.0,93,195.247282
-38.0,138,195.598558
32.0,68,195.773129
-31.0,132,196.109041
-31.0,131,196.446022
8.0,92,196.697309
31.0,69,196.882615
7.0,93,197.120665
9.0,92,197.37508
-25.0,125,197.68459
8.0,92,197.925788
-31.0,131,198.24211
-32.0,132,198.595214
-29.0,129,198.93177
8.0,92,199.165799
8.0,92,199.426374
-28.0,128,199.753868
8.0,92,199.987315
-38.0,138,200.354587
6.0,94,200.58865
-26.0,126,200.919482
-30.0,130,201.267805
-34.0,134,201.618899
8.0,92,201.863076
7.0,93,202.093352
32.0,68,202.276607
8.0,93,202.509443
-40.0,140,202.864916
-39.0,139,203.207749
-34.0,134,203.552547
-41.0,141,203.931321
32.0,68,204.095296
31.0,69,204.28512
-40.0,140,204.646497
-44.0,144,205.03055
-40.0,140,205.390932
30.0,70,205.562281
31.0,69,205.75142
-40.0,140,206.123083
-45.0,145,206.512717
31.0,69,206.685481
2.0,99,206.953899
30.0,70,207.118423
31.0,69,207.307729
-38.0,138,207.655029
4.0,97,207.898607
-39.0,139,208.262125
31.0,69,208.43222
3.0,97,208.699429
-43.0,143,209.059414
2.0,99,209.329399
-44.0,144,209.706276
31.0,69,209.876876
-44.0,144,210.24527
31.0,69,210.43293
31.0,69,210.620868
31.0,69,210.789688
5.0,95,211.046543
31.0,69,211.23283
31.0,69,211.388803
0.0,101,211.669599
32.0,68,211.856017
31.0,69,212.027713
-44.0,144,212.398493
31.0,69,212.572705
30.0,70,212.757305
32.0,68,212.921843
31.0,69,213.103627
29.0,71,213.290984
31.0,69,213.469903
27.0,73,213.661262
31.0,69,213.840707
32.0,68,214.003311
-43.0,143,214.354622
26.0,74,214.557178
-42.0,142,214.912271
6.0,94,215.163629
6.0,94,215.408559
-36.0,136,215.760666
6.0,94,216.008692
-35.0,135,216.357543
31.0,69,216.540932
31.0,69,216.729001
31.0,69,216.893597
-41.0,141,217.259631
31.0,69,217.438444
30.0,70,217.607985
-34.0,134,217.953678
-34.0,134,218.282432
31.0,69,218.45167
-35.0,135,218.808224
29.0,71,218.994975
30.0,70,219.179487
-33.0,133,219.519531
-34.0,135,219.848358
29.0,71,220.033423
31.0,70,220.214505
-44.0,144,220.584865
29.0,71,220.769828
29.0,71,220.958994
29.0,71,221.143975
29.0,71,221.333455
25.0,75,221.522681
-35.0,136,221.872068
30.0,70,222.054369
23.0,77,222.223611
30.0,70,222.403013
30.0,70,222.59147
-32.0,132,222.923347
30.0,70,223.106616
-36.0,136,223.450146
31.0,69,223.631239
-38.0,138,223.981275
30.0,70,224.160191
29.0,71,224.347818
-41.0,141,224.70936
30.0,70,224.892797
31.0,69,225.084034
29.0,71,225.250089
30.0,70,225.4398
31.0,69,225.629835
-45.0,145,226.010567
28.0,72,226.20012
-29.0,129,226.532327
31.0,69,226.720916
-43.0,143,227.095575
-41.0,141,227.454191
-29.0,129,227.796674
31.0,69,227.98781
-41.0,141,228.363109
30.0,70,228.522086
-33.0,133,228.874883
31.0,69,229.064978
-31.0,131,229.411731
-33.0,133,229.768081
31.0,69,229.940103
30.0,70,230.125548
-36.0,136,230.472364
27.0,73,230.655867
30.0,70,230.843201
30.0,70,231.021475
-49.0,149,231.394024
29.0,71,231.581487
30.0,70,231.765414
30.0,70,231.953772
30.0,70,232.133457
29.0,71,232.319706
-39.0,139,232.681633
30.0,70,232.848147
31.0,70,233.031932
30.0,70,233.216097
-35.0,135,233.571003
-34.0,134,233.90384
30.0,70,234.087638
-31.0,131,234.453472
30.0,70,234.631071
27.0,73,234.821449
30.0,70,235.011165
30.0,70,235.199929
26.0,74,235.385059
-41.0,141,235.747308
30.0,70,235.933336
29.0,71,236.100989
-43.0,143,236.46996
29.0,71,236.659421
31.0,69,236.849274
-37.0,137,237.206427
-26.0,126,237.53888
-33.0,133,237.877886
-32.0,132,238.228179
-28.0,128,238.56766
-26.0,126,238.907138
-38.0,138,239.258215
-24.0,124,239.577812
28.0,72,239.767163
-22.0,122,240.090111
-56.0,158,240.48201
-40.0,140,240.855752
-42.0,143,241.227556
-24.0,124,241.544115
